Name,Club,Country,Role,PLY Height,PLY Weight,PLY DoB,PLY Foot,PLY Birth Area,TME Area Name,Current Time,Age,Leagues
Jonas Omlin ,Montpellier,Switzerland,Goalkeeper,189,80,1994-01-10 00:00:00.000000,right,Switzerland,France,2021-06-11 14:12:58.835670,27,France Leagues
Manuel Akanji ,Dortmund,Switzerland,Defender,187,91,1995-07-19 00:00:00.000000,right,Switzerland,Germany,2021-06-11 14:12:58.835670,26,Germany Leagues
Loris Benito ,Bordeaux,Switzerland,Defender,186,85,1992-01-07 00:00:00.000000,left,Switzerland,France,2021-06-11 14:12:58.835670,29,France Leagues
Eray Cömert ,Basel,Switzerland,Defender,183,80,1998-02-04 00:00:00.000000,right,Switzerland,Switzerland,2021-06-11 14:12:58.835670,23,Switzerland Leagues
Nico Elvedi ,Mönchengladbach,Switzerland,Defender,189,81,1996-09-30 00:00:00.000000,right,Switzerland,Germany,2021-06-11 14:12:58.835670,25,Germany Leagues
Jordan Lotomba ,Nice,Switzerland,Defender,177,71,1998-09-29 00:00:00.000000,right,Switzerland,France,2021-06-11 14:12:58.835670,23,France Leagues
Kevin Mbabu ,Wolfsburg,Switzerland,Defender,184,83,1995-04-19 00:00:00.000000,right,Switzerland,Germany,2021-06-11 14:12:58.835670,26,Germany Leagues
Becir Omeragic ,Zürich,Switzerland,Defender,187,74,2002-01-20 00:00:00.000000,right,Switzerland,Switzerland,2021-06-11 14:12:58.835670,19,Switzerland Leagues
Ricardo Rodríguez ,Torino,Switzerland,Defender,182,77,1992-08-25 00:00:00.000000,left,Switzerland,Italy,2021-06-11 14:12:58.835670,29,Italy Leagues
Fabian Schär ,Newcastle United,Switzerland,Defender,188,84,1991-12-20 00:00:00.000000,right,Switzerland,England,2021-06-11 14:12:58.835670,29,England Leagues
Silvan Widmer ,Basel,Switzerland,Defender,183,79,1993-03-05 00:00:00.000000,right,Switzerland,Switzerland,2021-06-11 14:12:58.835670,28,Switzerland Leagues
Christian Fassnacht ,Young Boys,Switzerland,Midfielder,185,77,1993-11-11 00:00:00.000000,right,Switzerland,Switzerland,2021-06-11 14:12:58.835670,28,Switzerland Leagues
Edimilson Fernandes ,Mainz,Switzerland,Midfielder,187,77,1996-04-15 00:00:00.000000,right,Switzerland,Germany,2021-06-11 14:12:58.835670,25,Germany Leagues
Remo Freuler ,Atalanta,Switzerland,Midfielder,180,80,1992-04-15 00:00:00.000000,right,Switzerland,Italy,2021-06-11 14:12:58.835670,29,Italy Leagues
Admir Mehmedi ,Wolfsburg,Switzerland,Midfielder,183,78,1991-03-16 00:00:00.000000,right,Macedonia FYR,Germany,2021-06-11 14:12:58.835670,30,Germany Leagues
Xherdan Shaqiri ,Liverpool,Switzerland,Midfielder,169,72,1991-10-10 00:00:00.000000,left,Kosovo,England,2021-06-11 14:12:58.835670,30,England Leagues
Djibril Sow ,Frankfurt,Switzerland,Midfielder,184,77,1997-02-06 00:00:00.000000,right,Switzerland,Germany,2021-06-11 14:12:58.835670,24,Germany Leagues
Ruben Vargas ,Augsburg,Switzerland,Midfielder,177,68,1998-08-05 00:00:00.000000,right,Switzerland,Germany,2021-06-11 14:12:58.835670,23,Germany Leagues
Granit Xhaka ,Arsenal,Switzerland,Midfielder,186,80,1992-09-27 00:00:00.000000,left,Switzerland,England,2021-06-11 14:12:58.835670,29,England Leagues
Denis Zakaria ,Mönchengladbach,Switzerland,Midfielder,191,81,1996-11-20 00:00:00.000000,right,Switzerland,Germany,2021-06-11 14:12:58.835670,25,Germany Leagues
Steven Zuber ,Frankfurt,Switzerland,Midfielder,182,79,1991-08-17 00:00:00.000000,right,Switzerland,Germany,2021-06-11 14:12:58.835670,30,Germany Leagues
Breel Embolo ,Mönchengladbach,Switzerland,Forward,187,88,1997-02-14 00:00:00.000000,right,Cameroon,Germany,2021-06-11 14:12:58.835670,24,Germany Leagues
Mario Gavranović ,Dinamo Zagreb,Switzerland,Forward,175,76,1989-11-24 00:00:00.000000,right,Switzerland,Croatia,2021-06-11 14:12:58.835670,32,Croatia Leagues
Haris Seferović ,Benfica,Switzerland,Forward,189,85,1992-02-22 00:00:00.000000,left,Switzerland,Portugal,2021-06-11 14:12:58.835670,29,Portugal Leagues
Jonas Lössl ,Midtjylland,Denmark,Goalkeeper,195,89,1989-02-01 00:00:00.000000,right,Denmark,Denmark,2021-06-11 14:12:58.835670,32,Denmark Leagues
Frederik Rønnow ,Schalke,Denmark,Goalkeeper,190,80,1992-08-04 00:00:00.000000,right,Denmark,Germany,2021-06-11 14:12:58.835670,29,Germany Leagues
Kasper Schmeichel ,Leicester,Denmark,Goalkeeper,189,89,1986-11-05 00:00:00.000000,right,Denmark,England,2021-06-11 14:12:58.835670,35,England Leagues
Joachim Andersen ,Fulham,Denmark,Defender,192,87,1996-05-31 00:00:00.000000,right,Denmark,England,2021-06-11 14:12:58.835670,25,England Leagues
Nicolai Boilesen ,Copenhagen,Denmark,Defender,186,75,1992-02-16 00:00:00.000000,left,Denmark,Denmark,2021-06-11 14:12:58.835670,29,Denmark Leagues
Andreas Christensen ,Chelsea,Denmark,Defender,187,82,1996-04-10 00:00:00.000000,right,Denmark,England,2021-06-11 14:12:58.835670,25,England Leagues
Mathias Jørgensen ,Copenhagen,Denmark,Defender,0,0,2000-03-28 00:00:00.000000,,Denmark,,2021-06-11 14:12:58.835670,21,
Simon Kjær ,AC Milan,Denmark,Defender,190,86,1989-03-26 00:00:00.000000,right,Denmark,Italy,2021-06-11 14:12:58.835670,32,Italy Leagues
Joakim Mæhle ,Atalanta,Denmark,Defender,184,79,1997-05-20 00:00:00.000000,right,Denmark,Italy,2021-06-11 14:12:58.835670,24,Italy Leagues
Jens Stryger Larsen ,Udinese,Denmark,Defender,180,81,1991-02-21 00:00:00.000000,right,Denmark,Italy,2021-06-11 14:12:58.835670,30,Italy Leagues
Jannik Vestergaard ,Southampton,Denmark,Defender,199,98,1992-08-03 00:00:00.000000,right,Denmark,England,2021-06-11 14:12:58.835670,29,England Leagues
Anders Christiansen ,Malmö,Denmark,Midfielder,175,68,1990-06-08 00:00:00.000000,right,Denmark,Sweden,2021-06-11 14:12:58.835670,31,Sweden Leagues
Thomas Delaney ,Dortmund,Denmark,Midfielder,182,79,1991-09-03 00:00:00.000000,left,Denmark,Germany,2021-06-11 14:12:58.835670,30,Germany Leagues
Christian Eriksen ,Inter Milan,Denmark,Midfielder,182,76,1992-02-14 00:00:00.000000,right,Denmark,Italy,2021-06-11 14:12:58.835670,29,Italy Leagues
Pierre-Emile Højbjerg ,Tottenham,Denmark,Midfielder,185,85,1995-08-05 00:00:00.000000,right,Denmark,England,2021-06-11 14:12:58.835670,26,England Leagues
Mathias Jensen ,Brentford,Denmark,Midfielder,180,68,1996-01-01 00:00:00.000000,right,Denmark,England,2021-06-11 14:12:58.835670,25,England Leagues
Christian Nørgaard ,Brentford,Denmark,Midfielder,187,77,1994-03-10 00:00:00.000000,right,Denmark,England,2021-06-11 14:12:58.835670,27,England Leagues
Robert Skov ,Hoffenheim,Denmark,Midfielder,185,81,1996-05-20 00:00:00.000000,left,Denmark,Germany,2021-06-11 14:12:58.835670,25,Germany Leagues
Daniel Wass ,Valencia,Denmark,Midfielder,181,74,1989-05-31 00:00:00.000000,right,Denmark,Spain,2021-06-11 14:12:58.835670,32,Spain Leagues
Martin Braithwaite ,Barcelona,Denmark,Forward,177,73,1991-06-05 00:00:00.000000,right,Denmark,Spain,2021-06-11 14:12:58.835670,30,Spain Leagues
Andreas Cornelius ,Parma,Denmark,Forward,193,91,1993-03-16 00:00:00.000000,left,Denmark,Italy,2021-06-11 14:12:58.835670,28,Italy Leagues
Mikkel Damsgaard ,Sampdoria,Denmark,Forward,180,71,2000-07-03 00:00:00.000000,right,Denmark,Italy,2021-06-11 14:12:58.835670,21,Italy Leagues
Kasper Dolberg ,Nice,Denmark,Forward,187,84,1997-10-06 00:00:00.000000,right,Denmark,France,2021-06-11 14:12:58.835670,24,France Leagues
Andreas Skov Olsen ,Bologna,Denmark,Forward,188,75,1999-12-29 00:00:00.000000,left,Denmark,Italy,2021-06-11 14:12:58.835670,21,Italy Leagues
Yussuf Poulsen ,Leipzig,Denmark,Forward,192,84,1994-06-15 00:00:00.000000,right,Denmark,Germany,2021-06-11 14:12:58.835670,27,Germany Leagues
Jonas Wind ,Copenhagen,Denmark,Forward,190,82,1999-02-07 00:00:00.000000,right,Denmark,Denmark,2021-06-11 14:12:58.835670,22,Denmark Leagues
Yuri Dyupin ,Rubin,Russia,Goalkeeper,185,76,1988-03-17 00:00:00.000000,left,Russia,Russia,2021-06-11 14:12:58.835670,33,Russia Leagues
Matvei Safonov ,Krasnodar,Russia,Goalkeeper,192,82,1999-02-25 00:00:00.000000,right,Russia,Russia,2021-06-11 14:12:58.835670,22,Russia Leagues
Anton Shunin ,Dinamo Moskva,Russia,Goalkeeper,191,88,1987-01-27 00:00:00.000000,left,Russia,Russia,2021-06-11 14:12:58.835670,34,Russia Leagues
Igor Diveev ,CSKA Moskva,Russia,Defender,193,85,1999-09-27 00:00:00.000000,right,Russia,Russia,2021-06-11 14:12:58.835670,22,Russia Leagues
Georgi Dzhikiya ,Spartak Moskva,Russia,Defender,188,86,1993-11-21 00:00:00.000000,left,Russia,Russia,2021-06-11 14:12:58.835670,28,Russia Leagues
Mario Fernandes ,CSKA Moskva,Russia,Defender,187,80,1990-09-19 00:00:00.000000,right,Russia,Russia,2021-06-11 14:12:58.835670,31,Russia Leagues
Vyacheslav Karavaev ,Zenit,Russia,Defender,175,70,1995-05-20 00:00:00.000000,right,Russia,Russia,2021-06-11 14:12:58.835670,26,Russia Leagues
Fedor Kudryashov ,Antalyaspor,Russia,Defender,183,81,1987-04-05 00:00:00.000000,left,Russia,Turkey,2021-06-11 14:12:58.835670,34,Turkey Leagues
Andrei Semenov ,Akhmat,Russia,Defender,190,86,1989-03-24 00:00:00.000000,right,Russia,Russia,2021-06-11 14:12:58.835670,32,Russia Leagues
Dmitri Barinov ,Lokomotiv Moskva,Russia,Midfielder,179,72,1996-09-11 00:00:00.000000,right,Russia,Russia,2021-06-11 14:12:58.835670,25,Russia Leagues
Denis Cheryshev ,Valencia,Russia,Midfielder,179,74,1990-12-26 00:00:00.000000,left,Russia,Spain,2021-06-11 14:12:58.835670,30,Spain Leagues
Daniil Fomin ,Dinamo Moskva,Russia,Midfielder,187,78,1997-03-02 00:00:00.000000,right,Russia,Russia,2021-06-11 14:12:58.835670,24,Russia Leagues
Aleksandr Golovin ,Monaco,Russia,Midfielder,180,69,1996-05-30 00:00:00.000000,right,Russia,Monaco,2021-06-11 14:12:58.835670,25,Monaco Leagues
Daler Kuzyaev ,Zenit,Russia,Midfielder,182,74,1993-01-15 00:00:00.000000,right,Russia,Russia,2021-06-11 14:12:58.835670,28,Russia Leagues
Andrei Mostovoy ,Zenit,Russia,Midfielder,180,77,1997-11-05 00:00:00.000000,right,Russia,Russia,2021-06-11 14:12:58.835670,24,Russia Leagues
Maksim Mukhin ,CSKA Moskva,Russia,Midfielder,175,74,1998-07-05 00:00:00.000000,left,Russia,Russia,2021-06-11 14:12:58.835670,23,Russia Leagues
Magomed Ozdoev ,Zenit,Russia,Midfielder,184,78,1992-11-05 00:00:00.000000,right,Russia,Russia,2021-06-11 14:12:58.835670,29,Russia Leagues
Rifat Zhemaletdinov ,Lokomotiv Moskva,Russia,Midfielder,172,64,2001-11-04 00:00:00.000000,right,Russia,Russia,2021-06-11 14:12:58.835670,20,Russia Leagues
Yuri Zhirkov ,Zenit,Russia,Midfielder,180,75,1983-08-20 00:00:00.000000,left,Russia,Russia,2021-06-11 14:12:58.835670,38,Russia Leagues
Roman Zobnin ,Spartak Moskva,Russia,Midfielder,182,78,1994-02-11 00:00:00.000000,right,Russia,Russia,2021-06-11 14:12:58.835670,27,Russia Leagues
Artem Dzyuba ,Zenit,Russia,Forward,197,97,1988-08-22 00:00:00.000000,right,Russia,Russia,2021-06-11 14:12:58.835670,33,Russia Leagues
Aleksei Ionov ,Krasnodar,Russia,Forward,177,69,1989-02-18 00:00:00.000000,right,Russia,Russia,2021-06-11 14:12:58.835670,32,Russia Leagues
Denis Makarov ,Rubin,Russia,Forward,181,75,1998-02-18 00:00:00.000000,left,Russia,Russia,2021-06-11 14:12:58.835670,23,Russia Leagues
Aleksei Miranchuk ,Atalanta,Russia,Forward,182,67,1995-10-17 00:00:00.000000,left,Russia,Italy,2021-06-11 14:12:58.835670,26,Italy Leagues
Aleksandr Sobolev ,Spartak Moskva,Russia,Forward,195,85,1997-03-07 00:00:00.000000,right,Russia,Russia,2021-06-11 14:12:58.835670,24,Russia Leagues
Anton Zabolotny ,CSKA Moskva,Russia,Forward,180,77,1998-04-10 00:00:00.000000,right,Russia,Russia,2021-06-11 14:12:58.835670,23,Russia Leagues
Thibaut Courtois ,Real Madrid,Belgium,Goalkeeper,200,96,1992-05-11 00:00:00.000000,left,Belgium,Spain,2021-06-11 14:12:58.835670,29,Spain Leagues
Simon Mignolet ,Club Brugge,Belgium,Goalkeeper,193,87,1988-03-06 00:00:00.000000,right,Belgium,Belgium,2021-06-11 14:12:58.835670,33,Belgium Leagues
Matz Sels ,Strasbourg,Belgium,Goalkeeper,188,75,1992-02-26 00:00:00.000000,right,Belgium,France,2021-06-11 14:12:58.835670,29,France Leagues
Toby Alderweireld ,Tottenham,Belgium,Defender,187,91,1989-03-02 00:00:00.000000,right,Belgium,England,2021-06-11 14:12:58.835670,32,England Leagues
Dedryck Boyata ,Hertha Berlin,Belgium,Defender,188,84,1990-11-28 00:00:00.000000,right,Belgium,Germany,2021-06-11 14:12:58.835670,31,Germany Leagues
Timothy Castagne ,Leicester,Belgium,Defender,185,80,1995-12-05 00:00:00.000000,right,Belgium,England,2021-06-11 14:12:58.835670,26,England Leagues
Jason Denayer ,Lyon,Belgium,Defender,184,80,1995-06-28 00:00:00.000000,right,Belgium,France,2021-06-11 14:12:58.835670,26,France Leagues
Thomas Meunier ,Dortmund,Belgium,Defender,191,90,1991-09-12 00:00:00.000000,right,Belgium,Germany,2021-06-11 14:12:58.835670,30,Germany Leagues
Thomas Vermaelen ,Vissel Kobe,Belgium,Defender,183,80,1985-11-14 00:00:00.000000,left,Belgium,Japan,2021-06-11 14:12:58.835670,36,Japan Leagues
Jan Vertonghen ,Benfica,Belgium,Defender,189,88,1987-04-24 00:00:00.000000,left,Belgium,Portugal,2021-06-11 14:12:58.835670,34,Portugal Leagues
Nacer Chadli ,İstanbul Başakşehir,Belgium,Midfielder,187,80,1989-08-02 00:00:00.000000,right,Belgium,Turkey,2021-06-11 14:12:58.835670,32,Turkey Leagues
